 January 2023,5,Lovely Riad in a great location,"This was a lovely Riad in a great spot. Although we had a medical emergency the staff were able to assist us in dealing with it. The facilities were great, but don't expect a five star European style hotel. It is totally Moroccan. The terrace breakfasts are not to be missed.",hotelName,city
 October 2019,5,Fantastic Riad!,"We decided to go to Rabat for a short break and this Riad looked perfect. It was! The staff were really friendly and couldn't do enough to help us. Fantastic breakfast served every morning by Youness and Hamid was fantastic! He helped us with all sorts of everything, nothing was too much bother. The Riad is in a great location, the rooms are all well equipped and overall atmosphere of the place is one of tranquility. Can' recommend this place enough. Thanks you to all the staff for making our stay such a lovely one.",Dar_El_Kebira,Rabat
 January 2020,5,Very pleasant stay,Very nicely decorated and appreciated the bottled water given to us daily. Room was quiet and beds were comfortable. I don't think the heating/air con was working but this wasn't a problem. The hotel is well located as it's in the medina and it's very quiet at night. We were offered an upgrade to a bigger room but this was a queen bed and we wanted a twin room. Breakfast was delicious with various breads and condiments/jams and fresh orange juice (as well as other things) We didn't use the hammam but had a look at it. It looks small but quite decently priced.,Dar_El_Kebira,Rabat
 January 2020,5,A Good Riad in Rabat Medina,"We enjoy staying this riad. The host provides good services including good breakfast and good dinner. The riad is in very good condition, well decorated. The location is great, easy to walk to scenic area. Highly recommend for tourists.",Dar_El_Kebira,Rabat
 September 2019,2,Poor air conditioning can ruin the stay,"The people at this Riad were very nice. The breakfast was good and the hamman was excellent. We visited in September and the weather was still quite warm throughout the night. We had two rooms and, unfortunately, the air conditioning in my room was not working. I didnt want to leave my window open at night as there was an empty rooftop to another building within armsreach to my room. There also was a small clustering of very tiny ants in the room. The person at the desk told me they had no other rooms to switch me to making it quite uncomfortable to get a good night's sleep. We had previously booked for two nights but switched to another riad for the second night since they could not fix the air conditioning. Unfortunately, the owner charged me for the second night even…",Dar_El_Kebira,Rabat
 December 2019,5,Charming Riad in the medina,"We stayed at this Riad in the December holiday season and had an amazing experience. Right from meeting us at the curb to get out luggage and throughout the entire stay, the staff was friendly, attentive and courteous. The riad was charming and located right in the medina, which made it easy to shop around the souq. The room was large and the shower was perfect! Overall, great experience!!",Dar_El_Kebira,Rabat
 December 2019,5,Great Riad/Hotel if you are passing through Rabat,"We stayed here in December and enjoyed it! The staff was incredibly nice and accommodating. We interacted with Younnes the most. The location is great and close to the Medina. We only stayed one night, but would 100% recommend!",Dar_El_Kebira,Rabat
 October 2019,5,Secret Rabat,"Tucked inside the busy streets of the Rabat medina is the wonderful Riad. Rooms were comfortable, clean, toiletries plentiful, breakfast abundant and staff exceptional. Samhae the evening manager took care of us as if we were royalty. Samhae perfectly arranged for a private guide/driver to visit Meknes and Volubilus, two locations well worth the day. Moreover, see arranged for transportation from the airport to the Riad. Samhae was so lovely and after a full day of touring it was a delight to see her smiling face as we returned to the road. Definite keeper.",Dar_El_Kebira,Rabat
 November 2019,4,A hidden nice place,"The location of this Dar is really good, as you are walking distance from the Kasbah and the souks, inside the medina. The room was OK, the dining room and terrace are nicer. Good breakfast, not all the staff speaks english.",Dar_El_Kebira,Rabat
 May 2019,4,A DIFFERENT EXPERIENCE,"We had no idea about Riad and thus stayed here during a trip to Rabat in end May 2019. We asked the hotel for a cab to pick us up at the airport and it was waiting for us when we arrived. Once we got down from the taxi, they picked up our luggage and showed us the way from the car park, which was 5 mins walking through old town, which is called Medina. It’s good to note that the hotel is actually located in the Medina but within 5 mins walking from the main road. It has different types of rooms but we got a room with narrow width. The length was ok but practically no more than 10” walking space on both sides of bed. Therefore it was difficult to get up and down. All the windows of the room were opening inside inner courtyard which meant no noise. The weather was pleasant,…",Dar_El_Kebira,Rabat
 December 2019,5,"Excellent Location, Delightful Hotel",We loved our stay at this Riad in the hart of the Rabat Medina. Lovely staff and amazing breakfast on the roof top. Would stay here again for sure. We also enjoyed the onsite Hammam. This was a wonderful part of our stay in Morocco.,Dar_El_Kebira,Rabat
 November 2019,1,Stolen money,"I wasn't planning on leaving a bad review, considering most of the staff was kind at the riad and overall I had a pleasant experience. Ahmed was great and did a great job serving breakfast and the dinner was delicious (if not a bit pricey) However, the second day we asked for our room to be changed and a staff member assured us our stuff would be moved. We had every inclination to trust our staff would be taken care, anyways before I left I counted all my dollars in front of my husband, and on the way back I recounted and $40 dollars were missing. It felt horrible but we were understanding and told the receptionist and said we would not report it. What angered me, was just as I was leaving she asked me again if I was sure. It made me feel as if I had lied, and to make matters…",Dar_El_Kebira,Rabat
 October 2019,4,Great start to our Moroccan holiday,"We arrived at the riad tired after our long trip from Melbourne, Australia to be greeted by friendly and happy staff who sat us down before they gave us some mint tea and Moroccan cookies/pastries to have while our tour driver organised our check in at the front desk. The interior of the riad was beautiful, stunning, very clean and spotless, staff were very helpful when it came to booking our dinner time and would like to go back again for a longer stay. Dinner was delicious starting with their bread, olives, pickled vegetables, cucumber, beef tagine and veal tagine. The Moroccan wine was very nice too!! We were booked into the Agdal room for our overnight stay but knowing now that it was a small room, we would book a bigger room next time. Ahmed who looked after us during our…",Dar_El_Kebira,Rabat
 November 2019,5,Magical Moroccan experience,"From the time we arrived after a long travel day, to 4 days after we left. The friendly and extremely efficient staff made us feel at home. All and all an excellent introduction to Morocco ! I would recommend this Riad to anyone and everyone!",Dar_El_Kebira,Rabat
 October 2019,4,Lovely riad with welcoming staff,"A beautiful little riad for our first night in Morocco, tucked away behind a door in an alleyway. Our room was small but great in a traditional Morrocan style - we loved it. We had no problems with noise from outside despite our room being alongside an alley. The only reason I can't give 5 stars is because the evening meal was sadly not great. The chicken in the tagine was so hard I couldn't chew it, and my husband's vegetable tagine was bland and tasteless. We have since eaten the same dishes elsewhere which were tender and flavoursome. Maybe we were unlucky and it was the cook's night off?? Breakfast however was wonderful - freshly cooked to order, lots of it and served by lovely staff on the terrace. 😊",Dar_El_Kebira,Rabat
 October 2019,3,Seems minimal for the price,"Our room was on the second floor. In the evening we heard every conversation in the courtyard with our windows (note the ONLY windows and door were facing an interior courtyard) and door closed. At 6 a.m. the staff setting up for breakfast woke us as they moved tables and chairs directly above our room. The first room they showed us was so small the only place to put a suitcase was on the bed, no place to even leave a few clothes outside the suitcase. Finding a place to store the suitcase was not possible. Make sure you get one of the larger rooms.",Dar_El_Kebira,Rabat
 October 2019,5,Magical Riad in Rabat,My husband and I started a trip of a lifetime to Morocco to celebrate our 25th Anniversary. We began in Rabat thanks to the wonderful travel assistance of Experience Morocco - highly recommend this tour agent. The first night at this romantic riad was magical. Breakfast on the roof the next morning was perfect. Highly recommend staying here. Rabat is a gem.,Dar_El_Kebira,Rabat
 September 2019,5,Relax in Rabat,"Riad Dar El Kebira. Well done. A really well located riad that is comfortable, relaxing and friendly. The peaceful interior is a haven from the bustle of the souks and provides the perfect counterpoint in this important Moroccan city. The staff are terrific, breakfasts on the balcony something to look forward to each morning and the mint tea and pastries always a winner any time of the day. Thanks for the numerous little things that add up to a great stay.",Dar_El_Kebira,Rabat
 August 2019,4,Pleasant Stay and value if under $120US,"Tucked away in the labyrinth of roads that make up the old Medina, this is a pleasant retreat. Rooms are very small unless you opt for the themed rooms, but then the price is higher. Court is beautifully kept and suitable for an arrival or departure tea. Wifi is good and strong as was the A/c in our room. Tastefully remodelled space. Breakfast on the terrace is hit or miss - sweet breads are made at one time it appears so unless you arrive first, yours may be cold and crusty. Simple breakfast with fruit and yogurt that can also be found on the water just a 10 minute walk away. Enquired about the “spa” a “Hammam” and say a very small closet that had been converted. Didn’t leave me with confidence in the experience or in who might be qualified among the staff to deliver the…",Dar_El_Kebira,Rabat
 July 2019,5,World Class Hospitality,"As my first stop in Morocco, I’m impressed with the beauty of this Riad. Beyond the unassuming entrance lies a beautiful courtyard with moorish architecture and morrocan accents. The rooftop terrace is a quiet paradise perfect to enjoy my favorite mint tea. The hospitality of the staffs put me at home from the get-go. Hamed has been my go to person when I have a question, he’s very helpful and knowledgeable. Love my split level room and the food is amazing. I can’t say enough good things about this place. Beautiful Riad with a top notch hospitality. Well recommend.",Dar_El_Kebira,Rabat
 June 2019,5,Great place to stay,"Rooftop view is very nice especially for sunset and sunrise view. Bear in mind that guests staying there should not make any noise after a certain time (that means no loud sex, haha). Room is nice and location is very convenient as it's near to the Rabat Medina.",Dar_El_Kebira,Rabat
 July 2019,5,Excellent,"The property is historical yet clean and neat. The employees are very welcoming ans have good customer care. The food and the tea has been great and I will not miss to come over and over again. Internet is very fast, and the services are great.",Dar_El_Kebira,Rabat
 July 2019,5,Wonderful staff!,Riad Dar el kabira is perfectly located in the medina. The staff is incredible! Younes or Ahmed are always here to assist you and always with a smile. Anane the chief cook of the hotel is great . I recommend!,Dar_El_Kebira,Rabat
 July 2019,5,A Moorish Dream,"If a genie would come out of a lamp and ask me what I want right now, it would be to go back to Rabat and stay at this Riad again. Nicely tucked in the heart of the medina, it surely is a sight for sore eyes. Being a first timer in Morocco, I was overwhelmed by the beauty of the Riad’s Moorish architecture, its inward facing sunlit courtyard, the interior décor and the mosaic tilework that intricately adorns its walls and staircases. My room was just sublime, authentically laid in Moroccan tradition. I absolutely enjoyed my breakfasts and late evenings on the terrace, as the cool Atlantic breeze blew over the rooftops overlooking the meandering streets below. It was such a great experience being in the real living space of the local population, and watching real life happening…",Dar_El_Kebira,Rabat
 June 2019,5,Beautiful place,"The interior looks like a museum. It was our first Riad in Morocco, and the most beautiful. The owners are very nice and helpful. We had a medical emergency during our trip, and they went out of their way helping us with advice in this difficult situation in a foreign country. One aspect to keep in mind is that the Riad is inside the Medina, no car traffic. You have to walk for 3-5 minutes to get to the place.",Dar_El_Kebira,Rabat
 May 2019,3,Mixed Experience,"This riad is lovely, and if you get the right room you will probably enjoy your stay. Ours overlooked a narrow alley where motorcycles, heated conversation, street games and music kept us up night and day (more precisely, from about 2 pm till about 4 a.m.). It was impossible to sleep or even read, and the TV and air conditioning couldn't help because they weren't working. After three days of this we were pretty bonkers.",Dar_El_Kebira,Rabat
 May 2019,3,Mixed Review,"This riad is beautiful, the staff is gracious, and breakfast on the roof terrace is sweet. However, our room overlooked a narrow echo chamber of an alley where very loud voices ricocheted from noon until 10 pm our first night, 11 pm the second and ultimately, on our third night, until midnight. It was impossible to nap in the afternoon or sleep at night or even to read. Tried to distract ourselves with the TV but it was broken. Tightened the windows in a vain attempt to bring down the decibel level and suffered because the a.c. didn't work. This was during ramadan, and along with various calls to prayer, which we were prepared for, came amplified singing under our windows between 2 and 4 a.m. Don't book here unless you plan to sleep only perhaps between 5 a.m. and 11 a.m. (and…",Dar_El_Kebira,Rabat
 May 2019,5,Great location and great Riad.,The Riad is located in the Medina. It is very close to the ocean and the souks. It was very easy to get around. I could easily walk to all the sites and find my walk back. The Riad was beautiful. The room was lovely. The staff was very helpful.,Dar_El_Kebira,Rabat
 May 2019,5,Hidden Gem,This delightful Riad is so beautiful on the inside with traditional Moroccan decor. The staff are friendly and attentive to any request. They have a small hammam and offer massage. The food is traditional and flavourful. The room comes with breakfast and is also plentiful and delicious.,Dar_El_Kebira,Rabat
 April 2019,5,Lovely visit,"I loved the ""secret"" location of this riad off the main road and down a pedestrian walkway. The space was beautiful and comfortable, the staff were very friendly, and our team enjoyed great breakfasts out on the terrace.",Dar_El_Kebira,Rabat
 April 2019,5,Lovely place,"Beautiful rooms in a traditional Moroccan riad. No hair conditioner offered and I had a leaking sink, but those don't stop me from giving this place a great rating. I've been there many times now and love it.",Dar_El_Kebira,Rabat
 April 2019,3,Be advised,"The Riad is clean and comfortable. The rooms are sufficiently spacious and the decor is nice. It is located inside the Médina- it can be hard to find and I don’t think it is wise for a single female to stay here alone unless you have someone to walk you there in the evening (the Riad is safe but I don’t advise walking through the Médina alone at night). Breakfast is nice, the food is traditional Moroccan and good quality. The service is slow- you need at least 45 min. I did have one issue with this Riad- I understand local custom is to open windows but it was disconcerting to return to my room and find the windows that open into the courtyard (1st floor) open. Anyone could have entered and had access to my things. I addressed this with the gal in the office who assured me she…",Dar_El_Kebira,Rabat
 April 2019,1,Before You Book--Don't,"We are going to Morocco in two weeks. We booked this hotel 6 months ago. We received an email two weeks before our departure that said due to a technical error that they had in their system they were canceling our booking. There are either two choices here. They are incompetent, or I have a piece of the Brooklyn Bridge and I will sell it to you. Trip Advisor has reviews for good reason. To help others when they travel. You all can decide for yourselves",Dar_El_Kebira,Rabat
 April 2019,4,Excellent Service,"All of the staff working in this Riad are very kind and welcoming, and we even got a free upgrade from the Marsa room to the Souissi suite! We were welcomed with mint tea and these delicious little biscuits and were shown every courtesy possible. Dinner with the lamb tagine was well done, and they even gave us an extra flan since the two of us were sharing one three-course menu! It was really a kind gesture on their part. Ahmed helped us with our luggage and found us a taxi to the train station and everyone was very pleasant in general. The only reason we are not giving it five stars is because the Riad seemed a little old and could use a little polishing up. But overall, a good choice if you find yourself in Rabat!",Dar_El_Kebira,Rabat
 March 2019,5,Absolutely Lovely in Every Way,"Dar el Kebira exceeded my expectations and hopes. I stayed for four heavenly nights at this wonderful establishment tucked just inside the medina and would return in a heartbeat. After my transportation, arranged by Dar el Kebira, dropped me, Yunez warmly welcomed me and led me to the property where Safoune welcomed me again, reviewed an excellent map with me and ensured I would settle in pleasantly. Thrilled by the elegant interior decoration complementing the stunning centuries old tiles and fretwork, I retired to my large and inviting room. There were all the little special touches such as bottled water, bathrobes and flip flops, making my stay that much more comfortable. Their restaurant features superb Moroccan cuisine; actually some of the best I've had in three…",Dar_El_Kebira,Rabat
 February 2019,5,Great!,"We enjoyed our stay at the Riad Dar El Kebira, - we were welcomed friendly - the room was nice - dinner was amazing (the best Moroccan I had during my two weeks in Morocco) - breakfast was a large selection of local food and plentiful - hammam and massage were very relaxing",Dar_El_Kebira,Rabat
 February 2019,5,A real moroccan experience,"We came from Belgium to discover and enjoy the authentic side of the moroccan culture and Dar El kebira Riad was an excellent experience for us. The location is just perfect to visit other must see places in the heart of the capital and it’s also close to the beach. We’d like to thank the riad’s staff for their kindness, their help and their good sens of humour, and especially Miss Samhae Moussahal for her hospitality and her practical suggestions. The food is not just delicious but presented as masterpieces and reflecting the authentic moroccan tastes, we just loved that ! The room was a typical sheherazade arabian nights space where you’ll want to spend the entire day.. but you definitely should go enjoy the breakfast in the sunny rooftop ! We’ll come again for sure..…",Dar_El_Kebira,Rabat
 December 2018,4,Clean and traditional,This Hotel is small and friendly Boutique Hotel in my opinion. Staying here very much felt like 'Traditional' Morocco. It a good choice for couples and those who are not looking for a big International hotel.,Dar_El_Kebira,Rabat
 February 2019,2,Desapointed,It’s ab2.5- 3 star hotel it’s no good and nice the furniture Floor and walls need tone paint and clean TV HAS A PROBLEM and the shower the same running water and dirt Safe deposit box in room you can take the box out of the room,Dar_El_Kebira,Rabat
 January 2019,4,"Excellent location, wonderful staff...","The location was excellent for our short stay in Rabat. The service is wonderful as well. However, I was a bit disappointed in how tired everything appeared. The bathroom in our suite was in dire need of a paint job. Sheets and bedding really need to be updated, as well. It just had the feel of neglect, which is a pity because the building is so beautiful. I don’t regret staying here because of the warmth of the staff, however, I was happy it was only a one night stay.",Dar_El_Kebira,Rabat
 January 2019,4,"Beautiful riad, excellent location","Nicely restored riad with a convenient location near the shore. Common areas are spectacular. Had a comfortable bed in a spacious room. WiFi good, satellite tv needed attention. A few details in the room and bathroom were rough, such as light fixtures that had burned-out bulbs, a bathroom sink without a stopper, and a wobbly holder for the showerhead. Breakfast was fine, but service was slow and not attentive. Staff were friendly and went out of their way to be helpful. While very good, we had been spoiled by a flawless stay at another riad, so we may have been pickier than otherwise. Also, should you stay in a room with windows opening onto the street, make sure to ask how to close the exterior shutters to cut out the street lighting.",Dar_El_Kebira,Rabat
 December 2018,5,Excellent,"We stayed at both of the branches of this Riad. One is the older more established, the other is newer and less established. They are 3 min from each other. The service is impeccable. They came to the parking area and picked us up. They took our luggage up to our room. The rooms are spacious in both. The newer Riad has an elevator which helps because Riads all have steep stairs. All the rooms have TVs but limited English channels. It doesn’t really matter because there is so much to see and enjoy and savor that tv was not our priority. The bathroom in the newer Riad bathroom was tiny but there was a walk in shower. The older Riad had a bigger bathroom but the tub was a fall hazard. It was so narrow that I felt I was going to fall over while showering. There were robes and…",Dar_El_Kebira,Rabat
 January 2019,4,Good location in Rabat,"Stayed here one night during a road trip up the coast of Morocco. The dar is located down a quiet street in the Medina that is a quick 5 minute walk from the Kasbah and sea. The dar is a bit rundown, which isn’t a problem, but the photographs that are shown here on TripAdvisor are a little deceiving. We came here with my in-laws, and their room was a bit nicer with a nice standing shower. Our bedroom was located upstairs and had a comfortable mattress, but the shower/tub was cramped and difficult to bathe in without feeling like you were going to fall over. Breakfast here was the best we’ve had while in Morocco due to the variety of food and how fresh it all was; we were given yogurt, fruit bowl, fresh lemon water, typical Moroccan pastries, cheese, honey, and coffee/tea. There…",Dar_El_Kebira,Rabat
 November 2018,5,Excellent Service,"The hotel is ideally located in the Medina of Rabat. The service is excellent - the hotel was very responsive to all emails requested and the employees were very helpful. The Wi-Fi was quite good and the included breakfast was a nice touch. They even upgraded us to a better room. Overall, a very enjoyable experience!",Dar_El_Kebira,Rabat
 November 2018,5,Beautiful hotel in the heart of Rabat medina.,"A truly beautiful place, the sweetest atmosphere and the nicest staff. I was there on to film a video and the manager allowed us to shoot in the hall, which saved our life because the location was the best I could have asked! Rooms are clean, beautiful and comfortable. Breakfast is great and cooked with love.",Dar_El_Kebira,Rabat
 November 2018,5,Awesome stay,"We had a blast staying there. The rooms are so beautifully colored! No stress at all from the staff and reaaaaally great service. the terrasse on the rooftop offers a gorgeous view of the city. Moreover, everything in the medina is close by. Would totally go back there to enjoy a good stay!",Dar_El_Kebira,Rabat
 November 2018,4,Surprise gem and a true taste of Rabat,"Stayed here for 1 night as part of a work trip and was pleasantly surprised at the real traditional gem in the middle of the old town Rabat. Dont get me wrong, when walking through with my case I was petrified what I had done wrong in choosing this place where all colleagues were in chain hotels, and yes the place is pretty on impossible to find when unknown to the area. Once in, my perception changed completely. Lovely friendly welcome and a welcome drink whilst we waited in the central lounge area. The rooms were ok for 1 night with a bottle of water and welcome snacks. Wifi worked well and so everything that was needed was present. OK so the rooms opening into the indoor courtyard is a tad bizarre to get used to but its traditional. Cant say I heard that much noise…",Dar_El_Kebira,Rabat
 November 2018,3,"Old property, friendly staff","The property is very old, you feel the floors, doors and everything is patched up. The staff is friendly and helpful, breakfast is good, location is ok, you still have to walk with your luggage to get there which is the case with any Riad in the Medina.",Dar_El_Kebira,Rabat
 November 2018,5,Customer service 6/5,Riad is decorated in such a beautiful way that you don´t mind spending time in your room or in the lovely rooftop terrace. Nothing like boring hotel rooms where you stay for nights rest - accommodation here is experience itself! We enjoyed tasty breakfast every morning and had dinner at the Riad as well. Dinner especially was super tasty. They listened our special requests both in breakfast and dinner so we really got what we wanted. The ultimate best thing was great service we received. All the staff members were kind and made us feel like home. They helped us with everything we needed and spoke very good English! As I work in hospitality business myself - I can honestly say that customer service can´t get any better than this.,Dar_El_Kebira,Rabat
 November 2018,5,Don’t hesitate to book.,Superb Riad! Our room was spacious and amenities made available. Breakfast is served on the rooftop which has some great views. We missed breakfast on our last day but the staff were very accommodating and offered us a late brekkie with late check out at no extra cost! Executive customer service. We were also allowed to leave our luggage until the evening and they also printed off our boarding passes. Would stay here again. Take a boat over to Sale and spend a day getting lost in the madness there.,Dar_El_Kebira,Rabat
 October 2018,5,Quiet Luxury in Rabat,"Fantastic experience from start to finish. The riad is gorgeous and tucked away in the old Medina. Service was outstanding, all staff was friendly and helpful. Food was delicious. We felt very comfortable and safe throughout our stay. Highly recommend Dar El Kebira!",Dar_El_Kebira,Rabat
 September 2018,4,Lovely Riad in heart of the market.,"Friendly staff spoke English and arranged everything perfectly. Delicious dinner and breakfast, Stayed one nite and room was very nice, but linens need replacement. Bathtub was difficult to use, slippery and narrow. Experience was authentic and enjoyable. I would recommend this Riad in Rabat. Excellent location.",Dar_El_Kebira,Rabat
 September 2018,4,Good Hotel with Good restaurant,"We, a retired couple, stayed at this hotel in the Rabat Medina for 2 nights in September while visiting the city. The hotel is located in the very centre of the Medina. It might have been hard to find, but the hotel arranged a pick-up at the station and then had someone meet us at a drop-off point to lead us through the maze of laneways to the Riad. The accommodations are typical of a Riad, with rooms on multiple floors overlooking an interior courtyard. The décor has a pleasant, ornate, oriental flavor. Our comfortable room was on the second floor and consisted of a separate comfortable bedroom and sitting area. The ground floor had two bedrooms and a long salon used as a dining area, as well as ornate furniture spread around the central space. We ate dinner in the Riad…",Dar_El_Kebira,Rabat
 October 2018,5,Great value for money,"Very friendly and helpful staff, conveniently located with super fast internet. Charming ambience; not the highest quality but you're not paying through the roof either. The rooms were small but well decorated and pleasing. Well worth the money..",Dar_El_Kebira,Rabat
 September 2018,5,Our first Riad,"It was our first Riad, and the expectations were high, but exceeded. We had a friendly welcome with mint tea sitting relaxed in the beautiful hall while checking in. The Riad is in a good position in the Medina. The service was attentive, the supper and breakfast on the rooftop was tasty and we enjoyed the lovely view. The rooms were clean and nicely arranged. We recommend this Riad.",Dar_El_Kebira,Rabat
 September 2018,5,Our first Riad,"It was our first Riad and the expectations were high, but they were exceded. We had a friendly welcome with mint tea sitting relaxed in the beautiful hall while checking in. The house is a wonderful arrangement. We had tasty suppers and breakfast on the rooftop enjoying the view over the Medina. Service was very attentive. We recommend that Riad.",Dar_El_Kebira,Rabat
 September 2018,5,Superb Riad!,"We fully enjoyed our stay in that riad in Rabat. Excellent service, extremely friendly staff, good breakfast on the terrace. The Riad is good located in the Medina of Rabat. Everything can be easily reached by walking. The medina of Rabat is our favourite, becaus of the friendly people there. They don‘t bother you all the time!",Dar_El_Kebira,Rabat
 September 2018,5,Zwin bizef!,"Our stay at Dar El Kebira was great. The staff was welcoming, easily accessible, and accommodated all our requests. When we arrived, Hamid met us at our car a little ways away from the hotel and escorted us there. He also helped us orient ourselves to Rabat. The location of the hotel was great; near the Oudayas and right in the old medina. The staff were also very flexible; for example, we slept through breakfast one day and they still prepared a full wonderful breakfast for us almost an hour late. We also enjoyed the hammam experience we had, and were able to book it last minute. I would highly recommend Dar El Kebira for anyone who visits Rabat :)",Dar_El_Kebira,Rabat
 September 2018,5,Beautiful Riad conveniently located in the old city,"We loved our stay here! The staff were incredibly helpful and friendly, and the riad itself is beautiful. It is also conveniently located in the old city. I would highly recommend this riad to couples visiting Rabat!",Dar_El_Kebira,Rabat
